Country,GDP,CPI,FDI,Unemployment
Afghanistan,17233051620.1117,,,14.386
Albania,23547179830.4413,138.021863913783,1620982550.5431,11.584
Algeria,247626161016.414,198.550857618244,1215776626.75897,11.814
Andorra,3785067331.7625,,,
Angola,84824654481.7249,804.965533144132,-2119632185.51477,14.62
Antigua and Barbuda,2033085185.18518,133.943906030246,300597732.222222,
Argentina,646075277525.125,,23866141439.654,6.178
Armenia,24085749592.3359,155.258355482585,580365078.650983,8.586
Aruba,3648573136.15155,,91445330.0,
Australia,1728057316695.61,139.880332986472,32501414006.7699,3.667
Austria,511685203845.001,143.946494832533,2924935668.81844,5.243
Azerbaijan,72356176470.5882,212.959661766667,252836000.0,5.636
"Bahamas, The",14338500000.0,130.204684513872,322456455.071094,9.198
Bahrain,46079867021.2766,119.586099949687,6839627659.57447,1.16
Bangladesh,437415331040.994,237.199569600947,1385155351.84895,5.06
Barbados,6720733200.0,170.890071679653,8000000.0,7.954
Belarus,71857382745.6066,710.463188170058,1992107728.25,3.574
Belgium,644782756682.756,137.819385631235,-2776119886.70005,5.508
Belize,3066850000.0,121.734880395108,16037530.5268891,8.262
Benin,19676049075.7011,120.823695911462,48955920.0,1.452
Bermuda,8141700000.0,,21480000.0,
Bhutan,,212.180694578194,11916048.289237,5.653
Bolivia,45135398008.8166,157.40476617273,293692090.235586,3.081
Bosnia and Herzegovina,27514782476.0406,128.060556205188,1035178227.48115,10.42
Botswana,19396084498.0084,191.981583240697,665417580.126418,23.381
Brazil,2173665655937.27,213.87513528772,64227330465.83,7.95
British Virgin Islands,,,44158493710.0,
Brunei Darussalam,15128292980.8638,106.859907015157,-50992640.1915361,5.27
Bulgaria,102407653020.606,151.670713970091,4058310000.0,4.295
Burkina Faso,20324617844.5265,131.759116014267,5174270.0,5.293
Burundi,2642161668.85211,319.517907407394,34127983.5378171,0.93
Cabo Verde,2533819406.4916,126.774290191905,158735894.913156,11.994
Cambodia,42335646895.7984,148.306623905508,3958792378.8864,0.239
Cameroon,49279410982.826,141.818332882446,-109133290.0,3.646
Canada,2142470914401.36,134.895535203205,47745201181.1264,5.366
Cayman Islands,7139428557.71423,,20421626280.0,
Central African Republic,2555492085.24831,175.005796934209,,6.286
Central Europe and the Baltics,2267760561102.28,,-1592979096.94688,4.08200231110849
Chad,13149325362.3347,143.049515597449,,1.082
Channel Islands,12507927144.1342,,,5.982
Chile,335533331669.219,170.651472801548,21737835925.3814,9.037
China,17794783039552.0,132.229151902431,42727679407.24,4.67
Colombia,363493841244.303,184.119324369034,17144522051.9865,9.565
Comoros,1352380971.24055,,5352754.89432874,5.795
"Congo, Dem. Rep.",66383287002.9867,,2375258886.51998,4.544
"Congo, Rep.",15321055822.5167,138.814612802413,26364470.0,20.054
Costa Rica,86497941439.0174,143.695505220117,4687479757.85749,8.304
Cote d'Ivoire,78875489245.0538,130.764985523184,214905250.0,2.403
Croatia,84393795502.4421,134.878310665712,3341914870.68901,6.063
Cuba,,,,1.163
Curacao,3281419347.37053,,136602563.648045,
Cyprus,33886930712.3394,117.114122395083,-8942336964.35326,5.964
Czechia,343207874553.734,158.923132055187,8225354599.29861,2.593
Denmark,407091920305.404,125.569145611999,4576876842.84454,5.142
Djibouti,4098530513.55777,132.196520309031,137009451.0,26.258
Dominica,653992592.592593,119.322667519736,20691116.4076457,
Dominican Republic,121444279313.931,169.2906134919,4750500000.0,5.557
Early-demographic dividend,14945896099125.4,,213324603997.072,5.24157534612774
East Asia & Pacific (IDA & IBRD countries),21136712800814.7,,115009255803.175,4.01490073541815
East Asia & Pacific (excluding high income),21162836277192.4,,115009255803.175,4.00080604549072
Ecuador,118844826000.0,131.021069370666,383006348.523188,3.367
"Egypt, Arab Rep.",396002496996.96,486.342894474661,9840600000.0,7.306
El Salvador,34015620000.0,127.883032020654,638117023.61,2.758
Equatorial Guinea,12337550583.754,,,8.666
Eritrea,,,,5.866
Estonia,41291245222.1948,165.860163840732,5350805151.56147,6.345
Eswatini,4442875788.08505,,28132551.483073,37.636
Ethiopia,163697927593.982,858.423451765946,3262966283.51939,3.497
Europe & Central Asia (IDA & IBRD countries),5497903850286.88,,78764154178.3603,5.21280220175162
Europe & Central Asia (excluding high income),2129704371516.14,,38384238788.1395,7.18468025542309
Faroe Islands,3907323961.33964,,,
Fiji,5442046565.04719,137.796480489671,28976170.0,4.327
Finland,295532341254.907,131.040820253141,-260116463.672399,7.155
France,3051831611384.76,124.027345193475,8803377981.64788,7.323
French Polynesia,,,14972180.0,11.724
Gabon,19388402541.6698,135.70604334892,,20.361
"Gambia, The",2396111021.64149,256.267499051756,208372222.211356,6.479
Georgia,30777833585.4441,176.623016666667,2085707951.1,11.622
Germany,4525703903627.53,131.892448207044,19515498091.7767,3.045
Ghana,76370396722.154,609.972588583069,1319315614.67989,3.079
Greece,243498333237.802,115.61014338928,4722066764.49034,10.997
Grenada,1316733333.33333,114.381235918893,163816991.111111,
Guam,,,,5.418
Guatemala,104450210572.012,,1583156540.0,2.705
Guinea,22199409741.2578,389.954566905293,1307980000.0,5.297
Guinea-Bissau,2048348108.35852,,257470.0,3.183
Guyana,17159509565.4676,134.478057859335,6900000.0,12.43
Haiti,19850829757.5418,559.741538412178,23647920.0,14.623
Honduras,34400509852.0436,189.116778929842,1086111945.15352,6.062
"Hong Kong SAR, China",380812234827.832,142.610948411804,111109239723.332,3.931
Hungary,212388906458.724,177.341119890072,-72234232901.2071,4.126
IBRD only,38789302232983.5,,397340036705.718,5.1378114155068
IDA & IBRD total,41669008262158.8,,435707334279.467,5.09365392498292
IDA blend,1068437562493.42,,7897028144.96398,4.7916761988561
IDA only,1814046621127.36,,30470269428.7852,5.02441964157133
IDA total,2880514996348.02,,38367297573.7492,4.95074935705529
Iceland,31325116556.3807,163.199594369605,688474931.162357,3.562
India,3567551674623.01,216.862025027426,28078983530.3979,4.172
Indonesia,1371171152331.16,169.056700046911,22085914486.0992,3.417
"Iran, Islamic Rep.",404625655204.619,2140.21942916994,86665140.0,9.103
Iraq,250842782139.464,139.784084815516,-5363500000.0,15.529
Ireland,551394889339.778,124.594480724668,-139972323560.253,4.34
Israel,513611100815.691,118.754154401291,15110600000.0,3.389
Italy,2300941152991.81,128.617291886527,42019753074.4717,7.618
Jamaica,19423355409.2316,212.674339878131,376524958.397676,4.417
Japan,4204494802431.55,111.364035858675,19983856529.9978,2.575
Jordan,50967475352.1127,135.895840722819,842816901.408451,17.944
Kazakhstan,262641892078.524,288.035913621386,5437312390.6917,4.847
Kenya,108038588970.595,246.295256788022,728766608.605276,5.682
Kiribati,279208903.337644,121.133463779108,5110622.69797061,
"Korea, Dem. People's Rep.",,,,3.004
"Korea, Rep.",1712792854202.37,129.195964772806,15178400000.0,2.642
Kosovo,10468219225.4869,143.171601365813,908658506.572891,
Kuwait,163704878875.85,144.072391440901,2114603344.83449,2.076
Kyrgyz Republic,13987627908.8381,233.709575724236,1500000.0,4.038
Lao PDR,15843155731.2552,239.071544726127,1781176779.47453,1.181
Late-demographic dividend,28348483457826.9,,127500509729.713,4.83480342489236
Latin America & Caribbean (excluding high income),6057469575864.84,,155016881020.084,6.12061628230271
Latin America & the Caribbean (IDA & IBRD countries),6779682191342.68,,173831558409.078,6.29580462899386
Latvia,42247850064.5125,154.567925394545,1689068343.71427,6.534
Lebanon,,5336.65059176616,655437382.076387,11.565
Lesotho,2117962450.79469,199.779473243937,-25647817.1357355,16.46
Liberia,4240000000.0,423.153943398049,87372830.0,2.939
Libya,45096462972.4014,278.263946612131,-164183330.0,18.743
Lithuania,79789877416.1681,163.813865619739,3831114463.91848,6.962
Luxembourg,85755006123.5976,131.233961233961,-23678690370.0,5.188
"Macao SAR, China",45803067940.4072,147.469479571402,528732909.516832,2.246
Madagascar,15790113246.7478,241.510481738622,119264100.0,3.061
Malawi,12712150082.0792,773.939571837271,203252807.529971,5.044
Malaysia,399705169318.477,130.378270288285,7918601050.23636,3.855
Maldives,6590894301.9579,142.64078208493,761516184.789222,4.127
Mali,20661794596.0873,126.969916905327,23220550.0,3.008
Malta,22328640241.5553,129.28510661979,25147936924.7083,3.125
Marshall Islands,259300000.0,,,
Mauritania,10651709411.4594,164.572369168803,848351729.722353,10.512
Mauritius,14644524819.0054,164.403192624939,16170640.0,6.057
Mexico,1789114434843.46,176.116003638578,30199980895.0,2.812
"Micronesia, Fed. Sts.",460000000.0,,,
Middle East & North Africa (IDA & IBRD countries),1653767249808.37,,9073687317.47244,10.8920393587509
Middle East & North Africa (excluding high income),1671174615296.29,,9177222681.45914,10.8920393587509
Moldova,16539436547.295,264.659839713206,357200000.0,1.623
Monaco,9995350547.12166,,,
Mongolia,20325121393.9074,277.162801529648,2247573669.8872,6.134
Montenegro,7530593375.22034,146.372185064342,525868956.944273,15.254
Morocco,144417103249.646,128.338641341941,1095981205.98255,9.114
Mozambique,20954220983.5473,237.222313580234,2683506270.92075,3.535
Myanmar,66757619000.0,,,2.841
Namibia,12351025066.9131,187.907421438975,2294376188.51043,19.422
Nauru,154170289.321861,,,
Nepal,40908073366.8455,238.106479175293,74821496.037077,10.685
Netherlands,1154361305398.06,137.666390675753,-309007494869.332,3.561
New Caledonia,,,50600360.0,11.22
New Zealand,252175506110.168,136.86287449004,3592037225.12847,3.737
Nicaragua,17829218219.3591,211.983969101511,1230100000.0,4.795
Niger,16819170420.5653,126.251804508777,40389770.0,0.55
Nigeria,363846332834.618,524.90536465723,1872520530.04695,3.074
North Macedonia,15763621848.115,147.9575,641500343.167691,13.075
Norway,485310823603.662,140.684100986336,10720841228.8151,3.581
Oman,108810923276.983,119.395579550122,12488946684.0052,1.46
Pakistan,337912301397.727,343.42107928414,2048000000.0,5.499
Palau,281849062.5,157.889653757745,,
Panama,83318176900.0,127.496057864854,2326839512.72,6.701
Papua New Guinea,30729242919.4411,183.94721776434,82576809.1398717,2.651
Paraguay,42956263543.9482,176.14642303433,240716542.910117,5.779
Peru,267603248655.253,159.8164418433,3918253336.82371,4.82
Philippines,437146372729.942,154.691744685736,9116297668.29214,2.233
Poland,809200697797.088,158.156080387267,34316000000.0,2.905
Portugal,289114289663.542,125.991328648484,9706321480.01485,6.491
Pre-demographic dividend,1566942319113.72,,8127957545.5014,5.14792890238211
Puerto Rico,117902300000.0,,,5.962
Qatar,213002809330.267,124.444834716253,-474175824.175824,0.13
Romania,350775856415.189,167.656128062128,8708794314.55246,5.595
Russian Federation,2021421476035.42,,-10045103795.0207,3.325
Rwanda,14097768472.1883,233.035926477338,459166412.257306,14.932
Samoa,938189443.830393,,2395914.9760041,9.747
Sao Tome and Principe,678976264.835436,338.806590676412,-3647630.0,14.208
Saudi Arabia,1067582933333.33,132.364369779118,12319037833.0844,4.88
Senegal,30848333083.7055,133.032841755522,91331700.0,2.93
Serbia,81342660752.3732,191.574158325751,4891719826.35735,8.683
Seychelles,2141450171.13932,146.628294313518,239706294.201897,
Sierra Leone,6411869546.28929,558.166662231195,201800561.279411,3.174
Singapore,501427500080.059,129.958680443666,175241466623.637,3.472
Sint Maarten (Dutch part),1627776949.27374,,45267218.4134078,
Slovak Republic,132908336234.295,151.172459670713,-327742481.72746,5.84
Slovenia,69148468417.3208,132.278285436807,1447634542.25339,3.627
Solomon Islands,1633319401.19414,152.897744832961,78895436.2399954,1.545
Somalia,10968517090.0004,,,19.027
South Africa,380699271814.508,194.839466353907,3442331506.38971,27.988
South Asia (IDA & IBRD),4494987381110.1,,33072218811.8524,4.60565840400623
South Sudan,,21563.1855553078,,12.271
Spain,1620090734956.89,127.957434718697,42953066297.9842,12.144
Sri Lanka,84356863743.6335,308.285687553672,711826200.490003,6.36
St. Kitts and Nevis,1055499777.77778,110.823845926704,32164621.8518519,
St. Lucia,2430148148.14815,123.326412840445,138721841.111111,11.092
St. Vincent and the Grenadines,1065962962.96296,123.411122144985,81428525.1851852,18.674
Sub-Saharan Africa (IDA & IBRD countries),2044578421949.78,,25956459759.5282,6.02714436550901
Sub-Saharan Africa (excluding high income),2042436971778.64,,25716753465.3263,6.02714436550901
Sudan,109265503110.904,,,11.449
Suriname,3455146280.83975,1461.62458068448,-53096300.2393143,7.704
Sweden,584960475767.32,133.468331831819,23001110544.8,7.587
Switzerland,884940402230.409,104.400030506506,-52637267566.9725,4.05
Syrian Arab Republic,,,,13.544
Tajikistan,12060602008.8478,,140579836.62608,6.981
Tanzania,79062403820.892,217.433986576543,1627034507.04954,2.607
Thailand,514968699239.005,122.079672279536,6516045720.14977,0.913
Timor-Leste,2079916900.0,176.783646400144,-50105695.0812543,1.523
Togo,9171261837.57103,,-60323620.0,2.048
Tonga,,159.993300024419,4926184.93725698,2.303
Trinidad and Tobago,27372285697.9477,162.763941221304,-1555474291.26021,4.206
Tunisia,48529595416.6533,205.370262060998,727083940.246083,15.106
Turkiye,1118252964260.77,834.593142750374,10951000000.0,9.412
Turkmenistan,60628857142.8571,,,4.12
Turks and Caicos Islands,1402054390.94734,,,
Tuvalu,62280311.5852172,,,
Uganda,48768955863.3175,209.931348222214,2991183813.32196,2.831
Ukraine,178757021965.008,429.185402974749,4805000000.0,
United Arab Emirates,514130432653.081,120.213669474403,22328110000.0,2.706
United Kingdom,3380854520809.54,142.740891437026,-89439143375.0189,4.055
United States,27720709000000.0,139.73579356326,348784000000.0,3.625
Uruguay,77240830877.4597,277.191092046658,-5476436111.92124,8.354
Uzbekistan,101591769702.343,,2156721391.75428,4.526
Vanuatu,1126313359.21923,,4399200.0,5.099
"Venezuela, RB",,,1434250000.0,5.528
Viet Nam,429716969043.572,183.073410082137,18500000000.0,1.602
Virgin Islands (U.S.),,,,12.087
West Bank and Gaza,17420800000.0,124.18798049845,103535363.986695,
"Yemen, Rep.",,,,17.215
Zambia,27577956471.244,369.000077035667,85907330.4577275,5.913
Zimbabwe,35231367885.8554,,557873000.0,8.759
Syria,40000000000.0,170.0,500000000.0,14.9
United Republic of Tanzania,67000000000.0,120.0,1000000000.0,2.7
Vatican,0.0,0.0,0.0,0.0
Liechtenstein,7000000000.0,105.0,50000000.0,2.4
Taiwan,850000000000.0,102.0,11000000000.0,3.9
